[钽钨毛细血管瘤, 1/n/36/abc/no/0.9]
[兔宝宝990327, 2/y/40/abcd/1000/0.1]
[匝那吾长, 1/y/42/acd/990/0.6]
[假千九1141A, 2/n/38/abcd/996/0.3]
[qiqi20030111, 1/y/40/abc/983/0.1]
[高氙酸三氢钠, 1/n/40/abcd/988/0.7]
[1401玲玲, 2/n/42/abcd/996/0.8]
[个反应蛋白va, 1/y/30/abc/988/0.2]
[arkkaenb, 2/y/40/abc/990/0.4]
[炎煌深沉, 1/y/42/abc/994/0.2]
[fx2422esplus, 1/y/34/abc/990/0.4]
[我问ww我问问问, 3/n/40/abc/995/1.1]
[1007圆规, 2/y/35/abc/992/0.1]
[轻轻叶子青青, 2/y/37/abc/no/0.3]
[小莎47, 2/n/38/abc/986/0.1]
[mc创造神专业户, 2/y/40/abcd/996/0.3]
[jvixvixnvxnv, 2/n/31/bc/989/0.0]
[我是最强台风, 2/y/38/abc/990/0.2]
[闪电灵蛇2代, 2/n/40/abcd/988/0.1]
[热带扰动97W, 1/n/39/abc/987/0.3]
[满洲正黄旗5, 5/n/40/abc/975/0.7]
[jiayi040301, 2/n/39/ac/987/0.2]
[1998Zeb, 2/y/45/abc/990/0.1]
[51moreplants, 1/n/45/abc/987/0.1]
[大爱LX570, 1/n/37/a/979/0.2]
[吴明世X, 1/n/39/abcd/990/0.5]
[松鸦_喵喵, 2/n/39/abc/989/0.4]
[32778068, 2/y/34/ac/982/0.2]
[Silver_Wolfer, 0/y/36/ac/995/0.2]
[雾夜香蒲, 0/n/37/ab/984/0.6]
[renzhetegong, 1/n/35/ab/991/0.3]
